year,catch,country
1950,2629960.9,USA
1951,2452311.7,USA
1952,2472565,USA
1953,2534099,USA
1954,2596039,USA
1955,2621021,USA
1956,2795334,USA
1957,2555690,USA
1958,2532717,USA
1959,2763059,USA
1960,2714623,USA
1961,2852004,USA
1962,2897963,USA
1963,2655052,USA
1964,2519951,USA
1965,2649980,USA
1966,2442257,USA
1967,2311726,USA
1968,2410943,USA
1969,2439130,USA
1970,2794298,USA
1971,2885230,USA
1972,2772595,USA
1973,2808362,USA
1974,2885967,USA
1975,2847282,USA
1976,3088267,USA
1977,3037617,USA
1978,3477688,USA
1979,3583385,USA
1980,3703301,USA
1981,3701137.08,USA
1982,3952683.04,USA
1983,4152983.11,USA
1984,4721775.24,USA
1985,4719867.52,USA
1986,4880950,USA
1987,5694242,USA
1988,5670665.96,USA
1989,5491353.33,USA
1990,5620405.44,USA
1991,5244569.16,USA
1992,5274934.38,USA
1993,5608157.74,USA
1994,5652547.56,USA
1995,5209192,USA
1996,5069358,USA
1997,5155835,USA
1998,4845879,USA
1999,4962720,USA
2000,4788532,USA
2001,5006556,USA
2002,4998490,USA
2003,4986926,USA
2004,4992380,USA
2005,4962122,USA
2006,4887768,USA
2007,4800372,USA
2008,4374054,USA
2009,4229471,USA
2010,4317355,USA
2011,5180395,USA
2012,5011470,USA
2013,5099909,USA
2014,4989743,USA
2015,5043462,USA
2016,4909414,USA
2017,5038258.1,USA
2018,4756997,USA
