fleetid,fleetcode,fleetname,flagid,flagcode,flagname,statuscode
001DZ00,DZA,Algerie,1,DZA,Algerie,CP
001JP00,DZA-JPN,Algerie(Japan),1,DZA,Algerie,CP
001TR00,DZA-TUR,Algerie(Turkey),1,DZA,Algerie,CP
002AR00,ARG,Argentina,2,ARG,Argentina,NCO
003BB00,BRA-BRB,Brasil (Barbados),3,BRA,Brasil,CP
003BO00,BRA-BOL,Brasil (Bolivia),3,BRA,Brasil,CP
003BO01,BRA-BOL-NATAL,Brasil (Bolivia - Natal),3,BRA,Brasil,CP
003BR00,BRA,Brasil,3,BRA,Brasil,CP
003BR01,BRA-BRA-RECIFE,Brazil (based in Recife),3,BRA,Brasil,CP
003BR02,BRA-BRA-ITAJAI,Brasil (based in Itajai),3,BRA,Brasil,CP
003BR03,BRA-BRA-CABDELO,Brasil (based in Cabedelo),3,BRA,Brasil,CP
003BR04,BRA-BRA-NATAL,Brasil (based in Natal),3,BRA,Brasil,CP
003BR05,BRA-BRA-RGRANDE,Brasil (based in Rio Grande),3,BRA,Brasil,CP
003BR06,BRA-BRA-SANTOS,Brasil (based in Santos),3,BRA,Brasil,CP
003BR08,BRA-BRA-RJANERO,Brasil (based in R. Janeiro),3,BRA,Brasil,CP
003BR09,BRA-BRA-BELEM,Brazil (based in Belem),3,BRA,Brasil,CP
003BR10,BRA-BRA-ITAIPAVA,Brazil (based in Itaipava),3,BRA,Brasil,CP
003BR11,BRA-BRA-VITORIA,Brazil (based in Vitoria),3,BRA,Brasil,CP
003BR12,BRA-BRA-FNORONHA,Brazil (based in Fernando de Noronha),3,BRA,Brasil,CP
003BR13,BRA-BRA-SPAULO,Brazil (based in Sao Paulo),3,BRA,Brasil,CP
003BR14,BRA-BRA-FORTALEZA,Brazil (based in Fortaleza),3,BRA,Brasil,CP
003BR15,BRA-BRA-ALCOBACA,Brazil (based in AlcobaCa),3,BRA,Brasil,CP
003BR16,BRA-BRA-ANCHIETA,Brazil (based in Anchieta),3,BRA,Brasil,CP
003BR17,BRA-BRA-ADOSREIS,Brazil (based in Angra Dos Reis),3,BRA,Brasil,CP
003BR18,BRA-BRA-GUARAPARI,Brazil (based in Guarapari),3,BRA,Brasil,CP
003BR19,BRA-BRA-NAVEGANTES,Brazil (based in Navegantes),3,BRA,Brasil,CP
003BR20,BRA-BRA-PIUMA,Brazil (based in Piuma),3,BRA,Brasil,CP
003BR21,BRA-BRA-PIVUS,Brazil (based in Pivus),3,BRA,Brasil,CP
003BR22,BRA-BRA-SCRUZ,Brazil (based in Santa Cruz),3,BRA,Brasil,CP
003BR23,BRA-BRA-PBELO,Brazil (based in Porto Belo),3,BRA,Brasil,CP
003BR24,BRA-BRA-CFRIO,Brazil (based in Cabo Frio),3,BRA,Brasil,CP
003BZ00,BRA-BLZ,Brasil (Belize),3,BRA,Brasil,CP
003CA00,BRA-CAN,Brasil (Canada),3,BRA,Brasil,CP
003CA01,BRA-CAN-NATAL,Brasil (Canada - Natal),3,BRA,Brasil,CP
003EC00,BRA-ECU-NATAL,Brasil (Ecuador - Natal),3,BRA,Brasil,CP
003ES00,BRA-ESP,Brasil (Espana),3,BRA,Brasil,CP
003ES01,BRA-ESP-CABDELO,Brasil (Espana - Cabedelo),3,BRA,Brasil,CP
003ES02,BRA-ESP-NATAL,Brasil (Espana - NATAL),3,BRA,Brasil,CP
003ES03,BRA-ESP-SANTOS,Brazil (Espana - Santos),3,BRA,Brasil,CP
003GB01,BRA-GBR-NATAL,Brazil (United Kingdom - Natal),3,BRA,Brasil,CP
003GB02,BRA-GBR-CABDELO,Brazil (United Kingdom - Cabedelo),3,BRA,Brasil,CP
003GQ00,BRA-GNQ,Brasil (Eq. Guinea),3,BRA,Brasil,CP
003GY00,BRA-GUY,Brasil (Guyan),3,BRA,Brasil,CP
003GY01,BRA-GUY-NATAL,Brasil (Guyan - Natal),3,BRA,Brasil,CP
003HN00,BRA-HND,Brasil (Honduras),3,BRA,Brasil,CP
003HN02,BRA-HND-CABDELO,Brasil (Honduras - Cabedelo),3,BRA,Brasil,CP
003HN03,BRA-HND-NATAL,Brasil (Honduras - Natal),3,BRA,Brasil,CP
003HN04,BRA-HND-SANTOS,Brasil (Honduras - Santos),3,BRA,Brasil,CP
003HN05,BRA-HND-ITAJAI,Brazil (Honduras - Itajai),3,BRA,Brasil,CP
003HN06,BRA-HND-RGRANDE,Brazil (Honduras - Rio Grande),3,BRA,Brasil,CP
003IS00,BRA-ISL,Brasil (Iceland),3,BRA,Brasil,CP
003IS01,BRA-ISL-NATAL,Brasil (Iceland - Natal),3,BRA,Brasil,CP
003JP00,BRA-JPN,Brasil (Japan),3,BRA,Brasil,CP
003KN00,BRA-KNA-NATAL,Brazil (S. Kitts & Nevis - Natal),3,BRA,Brasil,CP
003KN01,BRA-KNA-CABDELO,Brazil (S. Kitts & Nevis - Cabedelo),3,BRA,Brasil,CP
003KN02,BRA-KNA-RECIFE,Brazil (S. Kitts & Nevis - Recife),3,BRA,Brasil,CP
003KR00,BRA-KOR,Brasil (Korea),3,BRA,Brasil,CP
003KY00,BRA-CYM,Brasil (Cayman Islands),3,BRA,Brasil,CP
003MA01,BRA-MAR-NATAL,Brazil (Maroc - Natal),3,BRA,Brasil,CP
003MA02,BRA-MAR-RECIFE,Brazil (Maroc - Recife),3,BRA,Brasil,CP
003PA00,BRA-PAN,Brasil (Panama),3,BRA,Brasil,CP
003PA02,BRA-PAN-CABDELO,Brasil (Panama - Cabedelo),3,BRA,Brasil,CP
003PA03,BRA-PAN-NATAL,Brasil (Panama - Natal),3,BRA,Brasil,CP
003PA04,BRA-PAN-RECIFE,Brazil (Panama - Recife),3,BRA,Brasil,CP
003PT00,BRA-PRT,Brasil (Portugal),3,BRA,Brasil,CP
003PT01,BRA-PRT-CABDELO,Brasil (Portugal-Cabedelo),3,BRA,Brasil,CP
003PT02,BRA-PRT-NATAL,Brazil (Portugal-Natal),3,BRA,Brasil,CP
003TW00,BRA-TAI,Brasil (Taipei),3,BRA,Brasil,CP
003US00,BRA-USA,Brasil (USA),3,BRA,Brasil,CP
003US01,BRA-USA-NATAL,Brasil (USA - Natal),3,BRA,Brasil,CP
003UY00,BRA-URY,Brasil (Uruguay),3,BRA,Brasil,CP
003UY01,BRA-URY-ITAJAI,Brasil (Uruguay - Itajai),3,BRA,Brasil,CP
003UY02,BRA-URY-CABDELO,Brasil (Uruguay - Cabedelo),3,BRA,Brasil,CP
003UY03,BRA-URY-NATAL,Brazil (Uruguay - Natal),3,BRA,Brasil,CP
003VC00,BRA-VCT,Brasil (St. Vincent),3,BRA,Brasil,CP
003VC03,BRA-VCT-NATAL,Brazil (St. Vincent Natal),3,BRA,Brasil,CP
003VU00,BRA-VUT,Brasil (Vanuatu),3,BRA,Brasil,CP
003VU02,BRA-VUT-NATAL,Brazil (Vanuatu Natal),3,BRA,Brasil,CP
004CA00,CAN,Canada,4,CAN,Canada,CP
004JP00,CAN-JPN,Canada (Japan),4,CAN,Canada,CP
005TW00,TAI,Chinese Taipei,5,TAI,Chinese Taipei,NCC
005TW01,TAI.Re-Registration,Chinese Taipei-Re-Registration,5,TAI,Chinese Taipei,NCC
006CU00,CUB,Cuba,6,CUB,Cuba,NCO
007DK00,EU.DNK,EU.Denmark,7,EU.DNK,EU.Denmark,CP
008FR00,EU.FRA,EU.France,8,EU.FRA,EU.France,CP
067BJ00,BEN,Benin,67,BEN,Benin,NCO
008FR01,EU.FRA-FR,EU.France (Mainland),8,EU.FRA,EU.France,CP
008FR02,EU.FRA-FR-GP,EU.France (based in Guadaloupe),8,EU.FRA,EU.France,CP
008FR03,EU.FRA-FR-MQ,EU.France (based in Martinique),8,EU.FRA,EU.France,CP
008FR04,EU.FRA-FR-ETRO,EU.France (East Tropical fleet),8,EU.FRA,EU.France,CP
008FR05,EU.FRA-MED,EU.France (Medi),8,EU.FRA,EU.France,CP
009DE00,EU.DEU,EU.Germany,9,EU.DEU,EU.Germany,CP
009DE99,EU.RFA,EU.Germany Fed. Rep.,9,EU.DEU,EU.Germany,CP
010GR00,EU.GRC,EU.Greece,10,EU.GRC,EU.Greece,CP
011IT00,EU.ITA,EU.Italy,11,EU.ITA,EU.Italy,CP
011IT01,EU.ITA-IT-TY.LI,EU.Italy (Tyrreniam + Ligurian seas),11,EU.ITA,EU.Italy,CP
011IT02,EU.ITA-IT-SIC.ST,EU.Italy (Strait of Sicily),11,EU.ITA,EU.Italy,CP
011IT10,EU.ITA-IT-ADRIAT,EU.Italy (Adriatic sea),11,EU.ITA,EU.Italy,CP
011IT11,EU.ITA-IT-ADRI.C,EU.Italy (Central Adriatic sea),11,EU.ITA,EU.Italy,CP
011IT12,EU.ITA-IT-ADRI.S,EU.Italy (South Adriatic sea),11,EU.ITA,EU.Italy,CP
011IT20,EU.ITA-IT-IONIAN,EU.Italy (Ionian sea),11,EU.ITA,EU.Italy,CP
011IT21,EU.ITA-IT-IONI.N,EU.Italy (North Ionian sea),11,EU.ITA,EU.Italy,CP
011IT22,EU.ITA-IT-IONI.S,EU.Italy (South Ionian sea),11,EU.ITA,EU.Italy,CP
011IT30,EU.ITA-IT-LIGURY,EU.Italy (Ligurian sea),11,EU.ITA,EU.Italy,CP
011IT40,EU.ITA-IT-SARDHA,EU.Italy (Sardenha),11,EU.ITA,EU.Italy,CP
011IT50,EU.ITA-IT-TYRREN,EU.Italy (Tyrrenean sea),11,EU.ITA,EU.Italy,CP
011IT51,EU.ITA-IT-TYRR.N,EU.Italy (North Tyrrenean sea),11,EU.ITA,EU.Italy,CP
011IT52,EU.ITA-IT-TYRR.S,EU.Italy (South Tyrrenean sea),11,EU.ITA,EU.Italy,CP
011IT53,EU.ITA-IT-TYRR.C,EU.Italy (Central Tyrrenean sea),11,EU.ITA,EU.Italy,CP
012JP00,JPN,Japan,12,JPN,Japan,CP
013KR00,KOR,Korea Rep.,13,KOR,Korea Rep.,CP
013MT00,KOR-MLT,"Korea, Malta",13,KOR,Korea Rep.,CP
014LY00,LBY,Libya,14,LBY,Libya,CP
015MT00,EU.MLT,EU.Malta,15,EU.MLT,EU.Malta,CP
016MA00,MAR,Maroc,16,MAR,Maroc,CP
017NO00,NOR,Norway,17,NOR,Norway,CP
018PL00,EU.POL,EU.Poland,18,EU.POL,EU.Poland,CP
019JP00,EU.PRT-JAPAN,EU.Portugal (Japan),19,EU.PRT,EU.Portugal,CP
019PT00,EU.PRT,EU.Portugal,19,EU.PRT,EU.Portugal,CP
019PT01,EU.PRT-PT-MAINLND,EU.Portugal (Mainland),19,EU.PRT,EU.Portugal,CP
019PT02,EU.PRT-PT-AZORES,EU.Portugal (Azores),19,EU.PRT,EU.Portugal,CP
