"lat","lon","year","month","fleet","catch","hooks"
5,-125,2009,1,"BLZ",4,30600
5,-120,2009,1,"BLZ",2,39000
10,-120,2009,1,"BLZ",59,58000
0,-115,2009,1,"BLZ",0,22900
5,-115,2009,1,"BLZ",28,37050
10,-115,2009,1,"BLZ",24,57000
5,-110,2009,1,"BLZ",9,24300
10,-110,2009,1,"BLZ",12,28500
0,-105,2009,1,"BLZ",190,122400
5,-105,2009,1,"BLZ",221,45000
10,-105,2009,1,"BLZ",3,4500
0,-90,2009,1,"BLZ",0,5400
10,-125,2010,1,"BLZ",43,43200
10,-120,2010,1,"BLZ",30,30000
5,-115,2010,1,"BLZ",43,52500
10,-115,2010,1,"BLZ",25,51000
5,-110,2010,1,"BLZ",43,39142
0,-105,2010,1,"BLZ",35,24000
5,-105,2010,1,"BLZ",43,72000
10,-105,2010,1,"BLZ",14,74400
5,-90,2010,1,"BLZ",13,24750
10,-90,2010,1,"BLZ",0,4608
5,-115,2011,1,"BLZ",46,18000
0,-110,2011,1,"BLZ",46,9000
0,-105,2011,1,"BLZ",91,21000
5,-105,2011,1,"BLZ",74,42900
10,-105,2011,1,"BLZ",41,56700
5,-100,2011,1,"BLZ",26,16500
10,-100,2011,1,"BLZ",12,31950
0,-95,2011,1,"BLZ",35,15000
5,-95,2011,1,"BLZ",0,6000
0,-90,2011,1,"BLZ",14,7200
5,-90,2011,1,"BLZ",87,21900
10,-90,2011,1,"BLZ",61,17100
0,-115,2012,1,"BLZ",112,86850
0,-110,2012,1,"BLZ",356,181500
5,-110,2012,1,"BLZ",69,52500
0,-105,2012,1,"BLZ",668,157800
10,-105,2012,1,"BLZ",0,18000
-5,-95,2012,1,"BLZ",89,18000
0,-90,2012,1,"BLZ",34,28800
5,-90,2012,1,"BLZ",85,85500
5,-115,2013,1,"BLZ",0,45000
10,-115,2013,1,"BLZ",0,2400
0,-110,2013,1,"BLZ",152,63450
5,-110,2013,1,"BLZ",44,101100
10,-110,2013,1,"BLZ",24,25500
0,-105,2013,1,"BLZ",304,179100
5,-105,2013,1,"BLZ",172,104700
-25,-100,2013,1,"BLZ",581,30800
5,-100,2013,1,"BLZ",250,46500
5,-90,2013,1,"BLZ",0,7500
10,-90,2013,1,"BLZ",0,25200
10,-110,2014,1,"BLZ",263,604650
0,-110,2015,1,"BLZ",2,1e+05
5,-110,2015,1,"BLZ",155,127050
10,-110,2016,1,"BLZ",697,214560
5,-110,2017,1,"BLZ",9,33600
10,-110,2017,1,"BLZ",77,103200
10,-105,2017,1,"BLZ",0,25200
0,-110,2020,1,"BLZ",295,25200
5,-125,2009,2,"BLZ",5,34200
5,-120,2009,2,"BLZ",17,25500
10,-120,2009,2,"BLZ",30,28800
10,-115,2009,2,"BLZ",25,35500
0,-110,2009,2,"BLZ",15,39000
10,-110,2009,2,"BLZ",16,18000
0,-105,2009,2,"BLZ",22,75600
5,-105,2009,2,"BLZ",8,15000
10,-105,2009,2,"BLZ",15,77400
5,-100,2009,2,"BLZ",12,1500
10,-100,2009,2,"BLZ",2,15000
10,-90,2009,2,"BLZ",0,16500
5,-85,2009,2,"BLZ",50,8000
5,-120,2010,2,"BLZ",49,91500
