"lat","lon","year","month","fleet","hooks","catch"
-45,140,1993,1,"AU",292415,0
-45,140,1994,1,"AU",236381,0
-30,150,1998,1,"AU",197419,1293
-30,150,1999,1,"AU",214416,894
-30,155,1999,1,"AU",174227,1401
-30,155,2000,1,"AU",188384,1556
-25,150,2001,1,"AU",314051,946
-30,155,2002,1,"AU",259627,1554
-30,150,2003,1,"AU",251059,772
-25,150,2003,1,"AU",313082,818
-30,155,2003,1,"AU",201061,1135
-30,155,2004,1,"AU",160872,752
-30,150,2005,1,"AU",207848,610
-30,155,2005,1,"AU",185329,1007
-30,155,2006,1,"AU",200133,1412
-30,155,2008,1,"AU",183245,1450
-25,150,2011,1,"AU",205018,276
-30,155,2012,1,"AU",171787,1751
-30,155,2014,1,"AU",153225,1328
-25,150,2015,1,"AU",230438,444
-30,155,2015,1,"AU",150485,1009
-30,155,2016,1,"AU",275541,1569
-25,150,2017,1,"AU",226755,313
-30,155,2017,1,"AU",215907,847
-25,150,2019,1,"AU",333568,447
-30,150,1998,2,"AU",242173,1161
-35,150,2000,2,"AU",247315,836
-30,155,2000,2,"AU",179309,1273
-35,150,2001,2,"AU",181419,298
-30,150,2001,2,"AU",170417,490
-25,150,2001,2,"AU",169271,351
-30,150,2002,2,"AU",164061,529
-30,155,2002,2,"AU",242120,1836
-30,150,2003,2,"AU",159275,430
-30,155,2003,2,"AU",358031,1405
-30,150,2005,2,"AU",207898,467
-30,155,2006,2,"AU",214187,1459
-30,155,2012,2,"AU",163550,1171
-30,155,2014,2,"AU",264237,1973
-25,150,2015,2,"AU",165171,314
-25,150,2018,2,"AU",216678,360
-30,155,2018,2,"AU",167522,789
-35,150,2019,2,"AU",165216,187
-25,150,2019,2,"AU",170088,115
-40,150,1994,3,"AU",213267,166
-40,150,1995,3,"AU",182448,102
-40,150,1999,3,"AU",212828,95
-35,150,2000,3,"AU",152289,361
-30,155,2000,3,"AU",178888,1218
-35,150,2001,3,"AU",191722,191
-30,155,2001,3,"AU",161149,932
-35,150,2002,3,"AU",238958,586
-30,150,2002,3,"AU",175864,471
-30,155,2002,3,"AU",284157,1173
-35,150,2003,3,"AU",242406,208
-30,150,2003,3,"AU",162823,213
-30,155,2003,3,"AU",483336,1221
-40,150,2004,3,"AU",190206,158
-35,150,2004,3,"AU",204755,247
-30,155,2005,3,"AU",158838,645
-30,155,2007,3,"AU",174807,1365
-25,150,2008,3,"AU",154976,72
-30,155,2008,3,"AU",154393,767
-35,150,2010,3,"AU",164559,190
-35,150,2011,3,"AU",193830,90
-40,150,2012,3,"AU",152864,141
-40,150,2013,3,"AU",157630,102
-30,155,2013,3,"AU",181664,838
-30,155,2014,3,"AU",205498,1553
-25,150,2015,3,"AU",239863,370
-25,150,2016,3,"AU",170323,220
-35,155,2016,3,"AU",204703,626
-25,155,2017,3,"AU",171546,433
-25,150,2019,3,"AU",230052,297
-40,150,1987,4,"AU",244973,166
-40,150,1991,4,"AU",161649,137
-40,150,1993,4,"AU",160790,105
-40,150,1995,4,"AU",157280,105
-40,150,1997,4,"AU",273721,344
-40,150,1998,4,"AU",167336,188
-40,150,1999,4,"AU",167788,158
-40,150,2000,4,"AU",232412,350
