"id","country","gsa","vessel","gear","rigging","door","year","month","day","haul_number","codend_closing","shooting_time","shooting_quadrant","shooting_latitude","shooting_longitude","shooting_depth","hauling_time","hauling_quadrant","hauling_latitude","hauling_longitude","hauling_depth","hauling_duration","validity","course","recorded_species","distance","vertical_opening","wing_opening","geometrical_precision","bridles_length","warp_length","warp_diameter","hydrological_station","observations","tf","todeb","tofin","method","nstrate","partit","upload_id","s_lat","s_lon"
53094,"HRV",17,"AND","GOC73","GC73","WHS8",2009,7,27,522,"S",625,1,4315,1623,79,655,1,4315,1621,79,30,"V","R",3,2778,24,165,"E",100,500,14,"",0,"TA",NA,NA,"",21117,"S",497,43.25,16.3833333333333
53095,"HRV",17,"AND","GOC73","GC73","WHS8",2009,7,27,523,"S",848,1,4310,1557,115,918,1,4309,1555,119,30,"V","R",3,2778,24,167,"E",100,600,14,"",0,"TA",NA,NA,"",21118,"S",497,43.1666666666667,15.95
53096,"HRV",17,"AND","GOC73","GC73","WHS8",2009,7,27,524,"S",1024,1,4309,1544,130,1054,1,4309,1542,130,30,"V","R",3,2778,24,167,"E",100,600,14,"",0,"TA",NA,NA,"",21118,"S",497,43.15,15.7333333333333
53097,"HRV",17,"AND","GOC73","GC73","WHS8",2009,7,27,525,"S",1155,1,4305,1533,148,1225,1,4304,1534,142,30,"V","R",3,2871,24,169,"E",100,700,14,"",0,"TA",NA,NA,"",21118,"S",497,43.0833333333333,15.55
53098,"HRV",17,"AND","GOC73","GC73","WHS8",2009,7,27,526,"S",1333,1,4259,1533,153,1403,1,4258,1531,159,30,"V","R",3,2778,24,170,"E",100,750,14,"",0,"TA",NA,NA,"",21118,"S",497,42.9833333333333,15.55
49600,"SVN",17,"EGU","GOC73","GC73","WHS8",1996,6,16,80,"S",659,1,4533.91,1336.75,24,729,1,4535.39,1336.16,26,30,"V","R",3,2854,24,151,"E",100,250,14,"",6,"TA",NA,NA,"",21111," ",29,45.5651666666667,13.6125
49601,"SVN",17,"EGU","GOC73","GC73","WHS8",1996,6,16,81,"S",818,1,4533.73,1331.02,24,848,1,4533.89,1333.14,22,30,"V","R",3,2780,24,151,"E",100,250,14,"",6,"TA",NA,NA,"",21111," ",29,45.5621666666667,13.517
49602,"SVN",17,"PRI","GOC73","GC73","WHS8",1997,6,13,81,"S",1357,1,4533.82,1330.52,24,1427,1,4534.69,1328.81,23,30,"V","R",3,2742,24,151,"E",100,250,14,"",6,"TA",NA,NA,"",21111," ",29,45.5636666666667,13.5086666666667
49603,"SVN",17,"PRI","GOC73","GC73","WHS8",1997,6,13,83,"S",1632,1,4534.84,1337.36,22,1702,1,4533.34,1337.37,22,30,"V","R",3,2780,24,151,"E",100,250,14,"",6,"TA",NA,NA,"",21111," ",29,45.5806666666667,13.6226666666667
49604,"SVN",17,"IGO","GOC73","GC73","WHS8",1998,6,22,66,"S",627,1,4534.46,1339.24,23,658,1,4535.81,1340.29,23,31,"V","R",3,2835,24,151,"E",100,250,14,"",6,"TA",14.6,14.6,"",21111," ",29,45.5743333333333,13.654
49605,"SVN",17,"IGO","GOC73","GC73","WHS8",1998,6,22,67,"S",815,1,4533.81,1329.07,23,945,1,4532.86,1330.78,21,90,"V","R",3,2817,24,151,"E",100,250,14,"",6,"TA",14.5,14.5,"",21111," ",29,45.5635,13.4845
49606,"SVN",17,"AND","GOC73","GC73","WHS8",1999,8,27,1,"S",551,1,4535.06,1340.1,21,620,1,4536.63,1341.17,21,29,"V","R",3,3261,24,151,"E",100,250,14,"",6,"TA",20.8,20.8,"VA",21111," ",29,45.5843333333333,13.6683333333333
49607,"SVN",17,"AND","GOC73","GC73","WHS8",1999,8,27,3,"S",738,1,4533.1,1329.75,20,807,1,4532.02,1331.46,20,29,"V","R",3,2983,24,151,"E",100,250,14,"",6,"TA",NA,NA,"",21111," ",29,45.5516666666667,13.4958333333333
49608,"SVN",17,"AND","GOC73","GC73","WHS8",2000,7,7,85,"S",632,1,4534.89,1339.81,20,702,1,4535.84,1341.45,21,30,"V","R",3,2798,24,151,"E",100,250,14,"",6,"TA",NA,NA,"",21111," ",29,45.5815,13.6635
49609,"SVN",17,"AND","GOC73","GC73","WHS8",2000,7,7,86,"S",803,1,4533.45,1329.64,20,833,1,4532.42,1331.16,20,30,"V","R",3,2742,24,151,"E",100,250,14,"",6,"TA",NA,NA,"",21111," ",29,45.5575,13.494
49610,"SVN",17,"AND","GOC73","GC73","WHS8",2001,6,26,103,"S",654,1,4533.95,1335.99,21,724,1,4533.96,1333.8,21,30,"V","R",3,2854,24,151,"E",100,250,14,"",6,"TA",17.5,16.3,"VA",21111," ",29,45.5658333333333,13.5998333333333
49611,"SVN",17,"AND","GOC73","GC73","WHS8",2001,6,26,104,"S",808,1,4533.95,1331.13,21,838,1,4533.93,1333.16,21,30,"V","R",3,2631,24,151,"E",100,250,14,"",6,"TA",17.5,18.6,"VA",21111," ",29,45.5658333333333,13.5188333333333
49612,"SVN",17,"AND","GOC73","GC73","WHS8",2002,9,26,1,"S",829,1,4536.29,1340,22,859,1,4535.72,1339.25,22,30,"V","R",3,2891,24,151,"E",100,250,14,"",6,"TA",21,21,"VA",21111," ",29,45.6048333333333,13.6666666666667
